24-04-2024,25-04-2024,26-04-2024,29-04-2024,30-04-2024,02-05-2024,03-05-2024
ACC,BANKBARODA,ASHOKLEY,BALRAMCHIN,APOLLOTYRE,ASIANPAINT,BHEL
BIOCON,BHEL,BHEL,FEDERALBNK,ASHOKLEY,BHEL,COALINDIA
CIPLA,CONCOR,CUB,HINDPETRO,ASTRAL,BOSCHLTD,CUMMINSIND
GNFC,GMRINFRA,DEEPAKNTR,ICICIBANK,BANDHANBNK,BPCL,NMDC
HAL,HEROMOTOCO,DIVISLAB,IOC,BANKBARODA,CHOLAFIN,SHREECEM
LALPATHLAB,IEX,IDFC,NAUKRI,CHOLAFIN,DABUR,PFC
ASTRAL,ITC,INDIGO,TATAPOWER,ESCORTS,HINDPETRO,RECLTD
DIVISLAB,JSWSTEEL,MOTHERSON,ULTRACEMCO,HDFCAMC,INDIAMART,TORNTPHARM
DIXON,NESTLEIND,MUTHOOTFIN,AUBANK,IGL,OBEROIRLTY,GRASIM
HINDALCO,PEL,SUNTV,NAVINFLUOR,M&M,PETRONET,PEL
MGL,PNB,ABCAPITAL,ABCAPITAL,PNB,PFC,ALKEM
AMBUJACEM,SUNTV,CHAMBLFERT,SBIN,POWERGRID,POWERGRID,HINDALCO
JSWSTEEL,COROMANDEL,MCX,AXISBANK,MRF,RECLTD,POLYCAB
UBL,DRREDDY,UBL,BANKNIFTY,FEDERALBNK,ZYDUSLIFE,
CHAMBLFERT,AXISBANK,BIOCON,CUMMINSIND,PFC,INDIGO,
CUMMINSIND,BHARATFORG,CONCOR,GRASIM,RECLTD,POLYCAB,
SAIL,CANBK,COROMANDEL,GODREJCP,TRENT,TATAPOWER,
BHARATFORG,CHAMBLFERT,DIXON,PFC,CROMPTON,VEDL,
CROMPTON,MCX,DRREDDY,RECLTD,HAVELLS,VOLTAS,
GLENMARK,ABCAPITAL,GMRINFRA,RELIANCE,INDIGO,AUBANK,
KOTAKBANK,EICHERMOT,HAVELLS,VEDL,BHEL,ESCORTS,
ESCORTS,SBIN,MARICO,AUROPHARMA,AUBANK,ASHOKLEY,
IEX,TRENT,PEL,COROMANDEL,SBIN,FEDERALBNK,
ONGC,COLPAL,SAIL,HDFCBANK,,TRENT,
BALRAMCHIN,ICICIBANK,TECHM,DRREDDY,,CIPLA,
NMDC,POWERGRID,BAJAJ-AUTO,,,LTF,
GAIL,NMDC,ASTRAL,,,GMRINFRA,
,ADANIENT,COLPAL,,,TATAMOTORS,
,,METROPOLIS,,,,
