Index Name,Date,Open,High,Low,Close,Volume
NIFTY 50,21-May-24,22404.55,22591.1,22404.55,22529.05,1000
NIFTY 50,18-May-24,22512.85,22520.25,22470.05,22502,1500
NIFTY 50,17-May-24,22415.25,22502.15,22345.65,22466.1,1200
NIFTY 50,16-May-24,22319.2,22432.25,22054.55,22403.85,1300
NIFTY 50,15-May-24,22255.6,22297.55,22151.75,22200.55,1400
NIFTY 50,14-May-24,22112.9,22270.05,22081.25,22217.85,1100
NIFTY 50,13-May-24,22027.95,22131.65,21821.05,22104.05,1700
NIFTY 50,10-May-24,21990.95,22131.3,21950.3,22055.2,1600
NIFTY 50,09-May-24,22224.8,22307.75,21932.4,21957.5,1800
NIFTY 50,08-May-24,22231.2,22368.65,22185.2,22302.5,1900
NIFTY 50,07-May-24,22489.75,22499.05,22232.05,22302.5,2000
NIFTY 50,06-May-24,22561.6,22588.8,22409.45,22442.7,2100
NIFTY 50,03-May-24,22766.35,22794.7,22348.05,22475.85,2200
NIFTY 50,02-May-24,22567.85,22710.5,22567.85,22648.2,2300
